page_index,page_url,pdf_url,anchor,context,http_status,final_url,content_type,bytes,pdf_magic,sha256
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-3_29.pdf,"Michael Bourdeaux, ""News From The Centre,"" Religion in Communist Lands 1.3 (1973): 29-31. pdf","Michael Bourdeaux, ""News From The Centre,"" Religion in Communist Lands 1.3 (1973): 29-31. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-3_29.pdf,application/pdf,91283,True,b2893b29866dae4a7a6ebafc1e0ffdf26a776d2eb49e26944ea06cd3f86f6e5e
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-3_32.pdf,"Bibliography, 32-37. pdf","Bibliography, 32-37. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-3_32.pdf,application/pdf,273186,True,4f274e37923a88a9bdbd70da0d89bdd7161de49a7be9dbf0ecda10a231d27b01
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-3_38.pdf,"News in Brief, 38-39. pdf","News in Brief, 38-39. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-3_38.pdf,application/pdf,85292,True,375953ae4232d1d3045d450a8d6d7830ea3acd6b655457bdf565d74ab7dcd87f
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-3_40.pdf,"Our Contributors, 40. pdf","Our Contributors, 40. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-3_40.pdf,application/pdf,23027,True,4b346fdfb5c2c053b7515dd9b2024faa94119a380d166890d010cd7b4a852e20
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_02.pdf,"Editorial, 2-3. pdf","Editorial, 2-3. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_02.pdf,application/pdf,97598,True,e309fadcf0a17756d181dc11e8f92a65b6f3325bc3fd9f372bcc886f3367bab2
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_04.pdf,"Hilary Black, ""The Church In East Germany,"" Religion in Communist Lands 1.4-5 (1973): 4-8. pdf","Hilary Black, ""The Church In East Germany,"" Religion in Communist Lands 1.4-5 (1973): 4-8. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_04.pdf,application/pdf,247281,True,448ae6015c06af2b72af5c64ddad1340d300beac55c9eab43a9fcf77eb40e78c
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_09.pdf,"""Religion in Eastern Europe (Report on a Lecture),"" Religion in Communist Lands 1.4-5 (1973): 9-14. pdf","""Religion in Eastern Europe (Report on a Lecture),"" Religion in Communist Lands 1.4-5 (1973): 9-14. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_09.pdf,application/pdf,279379,True,9835b49932c6ae45b825c96c96157859d48dcbc22ee441e16fa8dcb5ee1e83a9
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_15.pdf,"S. Petropavlovsky, ""The Russian Orthodox Church,"" Religion in Communist Lands 1.4-5 (1973): 15-19. pdf","S. Petropavlovsky, ""The Russian Orthodox Church,"" Religion in Communist Lands 1.4-5 (1973): 15-19. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_15.pdf,application/pdf,211895,True,ae89f209b27f85997777ee1a04f45166554dda9e9e6a46e6c2320583e428f0ae
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_20.pdf,"John Lawrence, ""Observations On Religion And Atheism In Soviet Society,"" Religion in Communist Lands 1.4-5 (1973): 20-27. pdf","John Lawrence, ""Observations On Religion And Atheism In Soviet Society,"" Religion in Communist Lands 1.4-5 (1973): 20-27. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_20.pdf,application/pdf,355971,True,0ac2efae12d472f76867b17e00115a0b7c1a887aefd4d7ea191d7255b8bdbd06
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_28.pdf,"Vello Salo, ""Anti-Religious Rites in Estonia, FR,"" Religion in Communist Lands 1.4-5 (1973): 28-33. pdf","Vello Salo, ""Anti-Religious Rites in Estonia, FR,"" Religion in Communist Lands 1.4-5 (1973): 28-33. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-4_5_28.pdf,application/pdf,293461,True,682c0f61028d657c0cc3b93a9b388e75c4d10efa23387dfe9f17b75e53a71dc1
